🌹防失联,#genre#
CCTV13,http://121.24.98.71:8090/hls/21/index.m3u8
CCTV14,http://121.24.98.71:8090/hls/22/index.m3u8
CCTV15,http://121.24.98.71:8090/hls/23/index.m3u8
CCTV中学生,http://121.24.98.71:8090/hls/24/index.m3u8
CETV1,http://121.24.98.71:8090/hls/67/index.m3u8
CCTV5,http://121.24.98.71:8090/hls/5/index.m3u8
CCTV1,http://61.52.158.49:808/hls/1/index.m3u8
CCTV2,http://61.52.158.49:808/hls/2/index.m3u8
CCTV3,http://61.52.158.49:808/hls/3/index.m3u8
CCTV4,http://61.52.158.49:808/hls/4/index.m3u8
CCTV5,http://61.52.158.49:808/hls/5/index.m3u8
CCTV6,http://61.52.158.49:808/hls/6/index.m3u8
CCTV7,http://61.52.158.49:808/hls/7/index.m3u8
CCTV8,http://61.52.158.49:808/hls/8/index.m3u8
CCTV9,http://61.52.158.49:808/hls/9/index.m3u8
CCTV10,http://61.52.158.49:808/hls/10/index.m3u8
CCTV11,http://61.52.158.49:808/hls/11/index.m3u8
CCTV12,http://61.52.158.49:808/hls/12/index.m3u8
CCTV13,http://61.52.158.49:808/hls/13/index.m3u8
CCTV14,http://61.52.158.49:808/hls/14/index.m3u8
CCTV15,http://61.52.158.49:808/hls/15/index.m3u8
CCTV1,http://175.0.237.222:8888/udp/239.76.245.51:1234
CCTV1,http://175.0.237.222:8888/udp/239.76.246.151:1234
CCTV2,http://175.0.237.222:8888/udp/239.76.246.152:1234
CCTV3,http://175.0.237.222:8888/udp/239.76.246.153:1234
CCTV4,http://175.0.237.222:8888/udp/239.76.245.195:1234
CCTV4,http://175.0.237.222:8888/udp/239.76.246.154:1234
CCTV5,http://175.0.237.222:8888/udp/239.76.246.155:1234
CCTV5,http://175.0.237.222:8888/udp/239.76.246.168:1234
CCTV6,http://175.0.237.222:8888/udp/239.76.246.156:1234
CCTV7,http://175.0.237.222:8888/udp/239.76.246.157:1234
CCTV8,http://175.0.237.222:8888/udp/239.76.246.158:1234
CCTV9,http://175.0.237.222:8888/udp/239.76.246.159:1234
CCTV10,http://175.0.237.222:8888/udp/239.76.246.160:1234
CCTV11,http://175.0.237.222:8888/udp/239.76.245.251:1234
CCTV12,http://175.0.237.222:8888/udp/239.76.246.162:1234
CCTV13,http://175.0.237.222:8888/udp/239.76.246.93:1234
CCTV14,http://175.0.237.222:8888/udp/239.76.246.164:1234
CCTV15,http://175.0.237.222:8888/udp/239.76.245.252:1234
CCTV16,http://175.0.237.222:8888/udp/239.76.246.98:1234
CCTV17,http://175.0.237.222:8888/udp/239.76.245.238:1234
CCTV16,http://175.0.237.222:8888/udp/239.76.246.214:1234
CCTV16,http://175.0.237.222:8888/udp/239.76.246.224:1234
CCTV16,http://175.0.237.222:8888/udp/239.76.246.230:1234
CCTV4,http://175.0.237.222:8888/udp/239.76.246.95:1234
CCTV4,http://175.0.237.222:8888/udp/239.76.246.96:1234
CCTV4,http://175.0.237.222:8888/udp/239.76.253.96:9000
CCTV4,http://175.0.237.222:8888/udp/239.76.253.95:9000
CCTV1,http://175.0.237.222:8888/udp/239.76.253.151:9000
CCTV2,http://175.0.237.222:8888/udp/239.76.253.152:9000
CCTV3,http://175.0.237.222:8888/udp/239.76.253.153:9000
CCTV4,http://175.0.237.222:8888/udp/239.76.253.154:9000
CCTV5,http://175.0.237.222:8888/udp/239.76.253.155:9000
CCTV5,http://175.0.237.222:8888/udp/239.76.253.168:9000
CCTV6,http://175.0.237.222:8888/udp/239.76.253.156:9000
CCTV7,http://175.0.237.222:8888/udp/239.76.253.157:9000
CCTV8,http://175.0.237.222:8888/udp/239.76.253.158:9000
CCTV9,http://175.0.237.222:8888/udp/239.76.253.159:9000
CCTV10,http://175.0.237.222:8888/udp/239.76.253.160:9000
CCTV12,http://175.0.237.222:8888/udp/239.76.253.162:9000
CCTV13,http://175.0.237.222:8888/udp/239.76.253.93:9000
CCTV14,http://175.0.237.222:8888/udp/239.76.253.164:9000
CCTV16,http://175.0.237.222:8888/udp/239.76.253.98:9000
CCTV16,http://175.0.237.222:8888/udp/239.76.253.214:9000
CCTV16,http://175.0.237.222:8888/udp/239.76.254.200:9000
CCTV16,http://175.0.237.222:8888/udp/239.76.253.224:9000
CCTV16,http://175.0.237.222:8888/udp/239.76.253.230:9000
CCTV1,http://1.83.124.218:8888/rtp/239.112.205.59:5140
CCTV2,http://1.83.124.218:8888/rtp/239.112.205.78:5140
CCTV3,http://1.83.124.218:8888/rtp/239.112.205.221:5140
CCTV4,http://1.83.124.218:8888/rtp/239.112.205.202:5140
CCTV5,http://1.83.124.218:8888/rtp/239.112.205.222:5140
CCTV5,http://1.83.124.218:8888/rtp/239.111.205.13:5140
CCTV6,http://1.83.124.218:8888/rtp/239.112.205.223:5140
CCTV7,http://1.83.124.218:8888/rtp/239.112.205.83:5140
CCTV8,http://1.83.124.218:8888/rtp/239.112.205.224:5140
CCTV9,http://1.83.124.218:8888/rtp/239.112.205.85:5140
CCTV10,http://1.83.124.218:8888/rtp/239.112.205.86:5140
CCTV11,http://1.83.124.218:8888/rtp/239.112.205.213:5140
CCTV12,http://1.83.124.218:8888/rtp/239.112.205.88:5140
CCTV14,http://1.83.124.218:8888/rtp/239.112.205.91:5140
CCTV15,http://1.83.124.218:8888/rtp/239.112.205.214:5140
CCTV16,http://1.83.124.218:8888/rtp/239.111.205.134:5140
CCTV17,http://1.83.124.218:8888/rtp/239.112.205.211:5140
CETV1,http://1.83.124.218:8888/rtp/239.109.205.47:8312
CETV2,http://1.83.124.218:8888/rtp/239.109.205.48:8320
CETV4,http://1.83.124.218:8888/rtp/239.109.205.49:8328
CETV1,http://1.83.124.218:8888/rtp/239.112.205.137:5140
CETV4,http://1.83.124.218:8888/rtp/239.111.205.169:5140
CCTV1,http://119.165.163.162:1029/udp/239.253.254.77:8000
CCTV2,http://119.165.163.162:1029/udp/239.253.254.232:8000
CCTV3,http://119.165.163.162:1029/udp/239.253.254.191:8000
CCTV4,http://119.165.163.162:1029/udp/239.253.254.111:8000
CCTV4,http://119.165.163.162:1029/udp/239.253.254.186:8000
CCTV4,http://119.165.163.162:1029/udp/239.253.254.187:8000
CCTV5,http://119.165.163.162:1029/udp/239.253.254.192:8000
CCTV5,http://119.165.163.162:1029/udp/239.253.254.80:8000
CCTV6,http://119.165.163.162:1029/udp/239.253.254.193:8000
CCTV7,http://119.165.163.162:1029/udp/239.253.254.233:8000
CCTV8,http://119.165.163.162:1029/udp/239.253.254.194:8000
CCTV9,http://119.165.163.162:1029/udp/239.253.254.79:8000
CCTV10,http://119.165.163.162:1029/udp/239.253.254.234:8000
CCTV11,http://119.165.163.162:1029/udp/239.253.254.169:8000
CCTV12,http://119.165.163.162:1029/udp/239.253.254.235:8000
CCTV13,http://119.165.163.162:1029/udp/239.253.254.175:8000
CCTV14,http://119.165.163.162:1029/udp/239.253.254.236:8000
CCTV15,http://119.165.163.162:1029/udp/239.253.254.170:8000
CCTV17,http://119.165.163.162:1029/udp/239.253.254.168:8000
CETV1,http://119.165.163.162:1029/udp/239.253.254.110:8000
CETV4,http://119.165.163.162:1029/udp/239.253.254.116:8000
CCTV1,http://183.54.211.105:9999/udp/239.77.1.17:5146
CCTV1,http://183.54.211.105:9999/udp/239.77.1.144:5146
CCTV1,http://183.54.211.105:9999/udp/239.77.0.86:5146
CCTV1,http://183.54.211.105:9999/udp/239.77.0.129:5146
CCTV2,http://183.54.211.105:9999/udp/239.77.1.158:5146
CCTV2,http://183.54.211.105:9999/udp/239.253.43.17:5146
CCTV2,http://183.54.211.105:9999/udp/239.77.0.137:5146
CCTV3,http://183.54.211.105:9999/udp/239.77.0.169:5146
CCTV3,http://183.54.211.105:9999/udp/239.77.0.175:5146
CCTV4,http://183.54.211.105:9999/udp/239.77.1.163:5146
CCTV4,http://183.54.211.105:9999/udp/239.77.1.166:5146
CCTV4,http://183.54.211.105:9999/udp/239.77.0.78:5146
CCTV5,http://183.54.211.105:9999/udp/239.77.0.170:5146
CCTV5,http://183.54.211.105:9999/udp/239.77.0.177:5146
CCTV5,http://183.54.211.105:9999/udp/239.77.0.87:5146
CCTV5,http://183.54.211.105:9999/udp/239.77.1.31:5146
CCTV5,http://183.54.211.105:9999/udp/239.77.1.147:5146
CCTV6,http://183.54.211.105:9999/udp/239.77.0.171:5146
CCTV6,http://183.54.211.105:9999/udp/239.77.0.178:5146
CCTV7,http://183.54.211.105:9999/udp/239.77.1.159:5146
CCTV7,http://183.54.211.105:9999/udp/239.77.1.167:5146
CCTV7,http://183.54.211.105:9999/udp/239.77.0.138:5146
CCTV8,http://183.54.211.105:9999/udp/239.77.0.172:5146
CCTV8,http://183.54.211.105:9999/udp/239.77.0.181:5146
CCTV9,http://183.54.211.105:9999/udp/239.77.1.160:5146
CCTV9,http://183.54.211.105:9999/udp/239.77.1.168:5146
CCTV9,http://183.54.211.105:9999/udp/239.77.0.135:5146
CCTV10,http://183.54.211.105:9999/udp/239.77.1.113:5146
CCTV10,http://183.54.211.105:9999/udp/239.77.1.169:5146
CCTV10,http://183.54.211.105:9999/udp/239.77.0.134:5146
CCTV11,http://183.54.211.105:9999/udp/239.77.1.238:5146
CCTV12,http://183.54.211.105:9999/udp/239.77.1.109:5146
CCTV12,http://183.54.211.105:9999/udp/239.77.1.170:5146
CCTV12,http://183.54.211.105:9999/udp/239.77.0.136:5146
CCTV13,http://183.54.211.105:9999/udp/239.77.0.188:5146
CCTV13,http://183.54.211.105:9999/udp/239.253.43.196:5146
CCTV14,http://183.54.211.105:9999/udp/239.77.1.161:5146
CCTV14,http://183.54.211.105:9999/udp/239.77.1.171:5146
CCTV14,http://183.54.211.105:9999/udp/239.77.0.133:5146
CCTV15,http://183.54.211.105:9999/udp/239.77.1.239:5146
CCTV16,http://183.54.211.105:9999/udp/239.77.0.165:5146
CCTV16,http://183.54.211.105:9999/udp/239.77.1.76:5146
CCTV16,http://183.54.211.105:9999/udp/239.77.1.98:5146
CCTV17,http://183.54.211.105:9999/udp/239.77.1.121:5146
CCTV4,http://183.54.211.105:9999/udp/239.77.0.194:5146
CCTV4,http://183.54.211.105:9999/udp/239.77.0.174:5146
CCTV1,http://223.10.34.224:8082/udp/239.1.1.7:8007
CCTV2,http://223.10.34.224:8082/udp/239.1.1.8:8008
CCTV3,http://223.10.34.224:8082/udp/239.1.1.9:8009
CCTV4,http://223.10.34.224:8082/udp/239.1.1.10:8010
CCTV5,http://223.10.34.224:8082/udp/239.1.1.11:8011
CCTV5,http://223.10.34.224:8082/udp/239.1.1.12:8012
CCTV6,http://223.10.34.224:8082/udp/239.1.1.13:8013
CCTV7,http://223.10.34.224:8082/udp/239.1.1.14:8014
CCTV8,http://223.10.34.224:8082/udp/239.1.1.15:8015
CCTV9,http://223.10.34.224:8082/udp/239.1.1.16:8016
CCTV10,http://223.10.34.224:8082/udp/239.1.1.17:8017
CCTV11,http://223.10.34.224:8082/udp/239.1.1.18:8018
CCTV12,http://223.10.34.224:8082/udp/239.1.1.19:8019
CCTV13,http://223.10.34.224:8082/udp/239.1.1.20:8020
CCTV14,http://223.10.34.224:8082/udp/239.1.1.21:8021
CCTV15,http://223.10.34.224:8082/udp/239.1.1.22:8022
CCTV16,http://223.10.34.224:8082/udp/239.1.1.122:8122
CCTV17,http://223.10.34.224:8082/udp/239.1.1.23:8023
CCTV女性时尚,http://223.10.34.224:8082/udp/239.1.1.89:8089
CCTV电视指南,http://223.10.34.224:8082/udp/239.1.1.90:8090
CCTV央视文化精品,http://223.10.34.224:8082/udp/239.1.1.91:8091
CCTV风云剧场,http://223.10.34.224:8082/udp/239.1.1.93:8093
CCTV第一剧场,http://223.10.34.224:8082/udp/239.1.1.94:8094
CCTV怀旧剧场高请,http://223.10.34.224:8082/udp/239.1.1.95:8095
CCTV风云音乐高请,http://223.10.34.224:8082/udp/239.1.1.96:8096
CCTV兵器科技,http://223.10.34.224:8082/udp/239.1.1.97:8097
CCTV世界地理,http://223.10.34.224:8082/udp/239.1.1.99:8099
CCTV央视台球,http://223.10.34.224:8082/udp/239.1.1.100:8100
CCTV风云足球,http://223.10.34.224:8082/udp/239.1.1.101:8101
CCTV高尔夫网球,http://223.10.34.224:8082/udp/239.1.1.102:8102
CCTV1,http://223.10.34.224:8083/udp/239.1.1.7:8007
CCTV2,http://223.10.34.224:8083/udp/239.1.1.8:8008
CCTV3,http://223.10.34.224:8083/udp/239.1.1.9:8009
CCTV4,http://223.10.34.224:8083/udp/239.1.1.10:8010
CCTV5,http://223.10.34.224:8083/udp/239.1.1.11:8011
CCTV5,http://223.10.34.224:8083/udp/239.1.1.12:8012
CCTV6,http://223.10.34.224:8083/udp/239.1.1.13:8013
CCTV7,http://223.10.34.224:8083/udp/239.1.1.14:8014
CCTV8,http://223.10.34.224:8083/udp/239.1.1.15:8015
CCTV9,http://223.10.34.224:8083/udp/239.1.1.16:8016
CCTV10,http://223.10.34.224:8083/udp/239.1.1.17:8017
CCTV11,http://223.10.34.224:8083/udp/239.1.1.18:8018
CCTV12,http://223.10.34.224:8083/udp/239.1.1.19:8019
CCTV13,http://223.10.34.224:8083/udp/239.1.1.20:8020
CCTV14,http://223.10.34.224:8083/udp/239.1.1.21:8021
CCTV15,http://223.10.34.224:8083/udp/239.1.1.22:8022
CCTV16,http://223.10.34.224:8083/udp/239.1.1.122:8122
CCTV17,http://223.10.34.224:8083/udp/239.1.1.23:8023
CCTV女性时尚,http://223.10.34.224:8083/udp/239.1.1.89:8089
CCTV电视指南,http://223.10.34.224:8083/udp/239.1.1.90:8090
CCTV央视文化精品,http://223.10.34.224:8083/udp/239.1.1.91:8091
CCTV风云剧场,http://223.10.34.224:8083/udp/239.1.1.93:8093
CCTV第一剧场,http://223.10.34.224:8083/udp/239.1.1.94:8094
CCTV怀旧剧场高请,http://223.10.34.224:8083/udp/239.1.1.95:8095
CCTV风云音乐高请,http://223.10.34.224:8083/udp/239.1.1.96:8096
CCTV兵器科技,http://223.10.34.224:8083/udp/239.1.1.97:8097
CCTV世界地理,http://223.10.34.224:8083/udp/239.1.1.99:8099
CCTV央视台球,http://223.10.34.224:8083/udp/239.1.1.100:8100
CCTV风云足球,http://223.10.34.224:8083/udp/239.1.1.101:8101
CCTV高尔夫网球,http://223.10.34.224:8083/udp/239.1.1.102:8102
CCTV1,http://182.149.107.204:8888/udp/239.93.0.184:5140
CCTV2,http://182.149.107.204:8888/udp/239.93.1.23:6000
CCTV3,http://182.149.107.204:8888/udp/239.93.1.11:2223
CCTV4,http://182.149.107.204:8888/udp/239.93.1.105:5140
CCTV5,http://182.149.107.204:8888/udp/239.93.42.37:5140
CCTV6,http://182.149.107.204:8888/udp/239.93.1.13:2226
CCTV7,http://182.149.107.204:8888/udp/239.93.1.67:5140
CCTV8,http://182.149.107.204:8888/udp/239.93.42.39:5140
CCTV9,http://182.149.107.204:8888/udp/239.93.1.24:5140
CCTV10,http://182.149.107.204:8888/udp/239.93.1.28:5140
CCTV11,http://182.149.107.204:8888/udp/239.93.0.102:5140
CCTV12,http://182.149.107.204:8888/udp/239.93.1.30:8124
CCTV13,http://182.149.107.204:8888/udp/239.93.0.66:5140
CCTV少儿,http://182.149.107.204:8888/udp/239.93.1.29:6000
CCTV15,http://182.149.107.204:8888/udp/239.93.0.103:5140
CCTV17,http://182.149.107.204:8888/udp/239.93.0.92:5140
CCTV5,http://182.149.107.204:8888/udp/239.93.1.36:8004
CETV1,http://182.149.107.204:8888/udp/239.93.1.111:5140
CETV2,http://182.149.107.204:8888/udp/239.93.0.113:5140
CETV4,http://182.149.107.204:8888/udp/239.93.0.50:5140
CCTV1,http://182.149.107.204:8888/udp/239.93.0.148:5140
CCTV2,http://182.149.107.204:8888/udp/239.93.0.149:5140
CCTV3,http://182.149.107.204:8888/udp/239.93.0.150:5140
CCTV4,http://182.149.107.204:8888/udp/239.93.0.212:5140
CCTV5,http://182.149.107.204:8888/udp/239.93.0.158:5140
CCTV6,http://182.149.107.204:8888/udp/239.93.0.64:5140
CCTV7,http://182.149.107.204:8888/udp/239.93.0.79:5140
CCTV8,http://182.149.107.204:8888/udp/239.93.0.154:5140
CCTV9,http://182.149.107.204:8888/udp/239.93.1.64:5140
CCTV10,http://182.149.107.204:8888/udp/239.93.1.63:5140
CCTV11,http://182.149.107.204:8888/udp/239.93.0.170:5140
CCTV12,http://182.149.107.204:8888/udp/239.93.1.41:5140
CCTV新闻,http://182.149.107.204:8888/udp/239.93.0.187:5140
CCTV少儿画中,http://182.149.107.204:8888/udp/239.93.1.40:5140
CCTV音乐,http://182.149.107.204:8888/udp/239.93.0.171:5140
CCTV1,http://182.149.107.204:8888/udp/239.93.1.68:5140
CCTV1,http://182.149.107.204:8888/udp/239.93.1.87:5140
CCTV5,http://182.149.107.204:8888/udp/239.93.1.79:5140
CCTV2,http://182.149.107.204:8888/udp/239.93.1.69:5140
CCTV7,http://182.149.107.204:8888/udp/239.93.1.73:5140
CCTV8,http://182.149.107.204:8888/udp/239.93.1.74:5140
CCTV3,http://182.149.107.204:8888/udp/239.93.1.70:5140
CCTV5,http://182.149.107.204:8888/udp/239.93.1.71:5140
CCTV6,http://182.149.107.204:8888/udp/239.93.1.72:5140
CCTV9,http://182.149.107.204:8888/udp/239.93.1.75:5140
CCTV1,http://123.14.92.89:8888/hls/1/index.m3u8
CCTV2,http://123.14.92.89:8888/hls/2/index.m3u8
CCTV3,http://123.14.92.89:8888/hls/3/index.m3u8
CCTV4,http://123.14.92.89:8888/hls/4/index.m3u8
CCTV5,http://123.14.92.89:8888/hls/5/index.m3u8
CCTV6,http://123.14.92.89:8888/hls/6/index.m3u8
CCTV7,http://123.14.92.89:8888/hls/7/index.m3u8
CCTV8,http://123.14.92.89:8888/hls/8/index.m3u8
CCTV9,http://123.14.92.89:8888/hls/9/index.m3u8
CCTV10,http://123.14.92.89:8888/hls/10/index.m3u8
CCTV11,http://123.14.92.89:8888/hls/11/index.m3u8
CCTV12,http://123.14.92.89:8888/hls/12/index.m3u8
CCTV13,http://123.14.92.89:8888/hls/13/index.m3u8
CCTV14,http://123.14.92.89:8888/hls/14/index.m3u8
CCTV15,http://123.14.92.89:8888/hls/15/index.m3u8
CCTV5,http://123.14.92.89:8888/hls/16/index.m3u8
CCTV1,http://110.52.99.109:9901/tsfile/live/1000_1.m3u8
CCTV2,http://110.52.99.109:9901/tsfile/live/1001_1.m3u8
CCTV3,http://110.52.99.109:9901/tsfile/live/faacts/1002_1.m3u8
CCTV4,http://110.52.99.109:9901/tsfile/live/1003_1.m3u8
CCTV5,http://110.52.99.109:9901/tsfile/live/1004_1.m3u8
CCTV6,http://110.52.99.109:9901/tsfile/live/faacts/1005_1.m3u8
CCTV7,http://110.52.99.109:9901/tsfile/live/1006_1.m3u8
CCTV8,http://110.52.99.109:9901/tsfile/live/faacts/1007_1.m3u8
CCTV9,http://110.52.99.109:9901/tsfile/live/1008_1.m3u8
CCTV10,http://110.52.99.109:9901/tsfile/live/1009_1.m3u8
CCTV11,http://110.52.99.109:9901/tsfile/live/1010_1.m3u8
CCTV12,http://110.52.99.109:9901/tsfile/live/1011_1.m3u8
CCTV13,http://110.52.99.109:9901/tsfile/live/1012_1.m3u8
CCTV14,http://110.52.99.109:9901/tsfile/live/1013_1.m3u8
CCTV15,http://110.52.99.109:9901/tsfile/live/1014_1.m3u8
CCTV16,http://110.52.99.109:9901/tsfile/live/1015_1.m3u8
CCTV17,http://110.52.99.109:9901/tsfile/live/1016_1.m3u8
CCTV1,http://111.14.181.15:9901/tsfile/live/0001_1.m3u8
CCTV2,http://111.14.181.15:9901/tsfile/live/0002_1.m3u8
CCTV3,http://111.14.181.15:9901/tsfile/live/0003_1.m3u8
CCTV4,http://111.14.181.15:9901/tsfile/live/0004_1.m3u8
CCTV5,http://111.14.181.15:9901/tsfile/live/0005_1.m3u8
CCTV5,http://111.14.181.15:9901/tsfile/live/0016_1.m3u8
CCTV6,http://111.14.181.15:9901/tsfile/live/0006_1.m3u8
CCTV7,http://111.14.181.15:9901/tsfile/live/0007_1.m3u8
CCTV8,http://111.14.181.15:9901/tsfile/live/0008_1.m3u8
CCTV9,http://111.14.181.15:9901/tsfile/live/0009_1.m3u8
CCTV10,http://111.14.181.15:9901/tsfile/live/0010_1.m3u8
CCTV11,http://111.14.181.15:9901/tsfile/live/0011_1.m3u8
CCTV12,http://111.14.181.15:9901/tsfile/live/0012_1.m3u8
CCTV13,http://111.14.181.15:9901/tsfile/live/0013_1.m3u8
CCTV14,http://111.14.181.15:9901/tsfile/live/0014_1.m3u8
CCTNCCTV国际,http://111.14.181.15:9901/tsfile/live/0017_1.m3u8
CCTV15,http://111.14.181.15:9901/tsfile/live/0015_1.m3u8
CCTV1,http://113.4.101.152:8907/udp/229.58.190.151:5000
CCTV1,http://113.4.101.152:8907/udp/229.58.190.129:5000
CCTV9,http://113.4.101.152:8907/udp/229.58.190.156:5000
CCTV9,http://113.4.101.152:8907/udp/229.58.190.58:5000
CCTV8,http://113.4.101.152:8907/udp/229.58.190.63:5000
CCTV8,http://113.4.101.152:8907/udp/229.58.190.50:5000
CCTV7,http://113.4.101.152:8907/udp/229.58.190.132:5000
CCTV7,http://113.4.101.152:8907/udp/229.58.190.82:5000
CCTV6,http://113.4.101.152:8907/udp/229.58.190.61:5000
CCTV6,http://113.4.101.152:8907/udp/229.58.190.48:5000
CCTV5,http://113.4.101.152:8907/udp/229.58.190.60:5000
CCTV5,http://113.4.101.152:8907/udp/229.58.190.154:5000
CCTV5,http://113.4.101.152:8907/udp/229.58.190.32:5000
CCTV4,http://113.4.101.152:8907/udp/229.58.190.131:5000
CCTV3,http://113.4.101.152:8907/udp/229.58.190.35:5000
CCTV3,http://113.4.101.152:8907/udp/229.58.190.24:5000
CCTV2,http://113.4.101.152:8907/udp/229.58.190.153:5000
CCTV2,http://113.4.101.152:8907/udp/229.58.190.130:5000
CCTV17,http://113.4.101.152:8907/udp/229.58.190.211:5000
CCTV15,http://113.4.101.152:8907/udp/229.58.190.127:5000
CCTV14,http://113.4.101.152:8907/udp/229.58.190.159:5000
CCTV14,http://113.4.101.152:8907/udp/229.58.190.137:5000
CCTV13,http://113.4.101.152:8907/udp/229.58.190.199:5000
CCTV13,http://113.4.101.152:8907/udp/229.58.190.136:5000
CCTV12,http://113.4.101.152:8907/udp/229.58.190.158:5000
CCTV12,http://113.4.101.152:8907/udp/229.58.190.135:5000
CCTV11,http://113.4.101.152:8907/udp/229.58.190.134:5000
CCTV10,http://113.4.101.152:8907/udp/229.58.190.157:5000
